title,image,plot
'68 (film),https://upload.wikimedia.org/wikipedia/en/e/e5/68film.jpg,"The father escaped the Soviet invasion of Budapest and now runs a Hungarian restaurant that is not doing well financially. The younger of his two sons is gay and struggling with coming out. His dad disowns him when he finally does. The older son is involved in the counterculture, gets kicked out of college, buys a motorcycle, starts dating a Maoist, and is also disowned by his father. The older of the sons runs afoul of an outlaw motorcycle club; the younger of the two sons gets drafted but is rejected because of his homosexuality. The older one joins his younger brother in a gay rights protest.  Major events of the year such as the assassination of Martin Luther King and the assassination of Robert F. Kennedy are interspersed throughout the plot and depicted in the film using stock footage."
'Gator Bait II: Cajun Justice,https://upload.wikimedia.org/wikipedia/en/9/91/Gatorbait2.jpg,"When a sweet city girl is initiated into the rugged ways of the Louisiana bayou by her good-natured Cajun husband ""Big T"", she ends up putting her newly acquired survival skills to good use when she is kidnapped by Big T's chief rival Leroy and his swarthy, brutish family as part of an ongoing feud."
"'night, Mother (film)",https://upload.wikimedia.org/wikipedia/en/e/e7/%27nightMotherFilmPoster.jpg,"Jessie is a middle-aged woman living with her widowed mother, Thelma. One night, Jessie calmly tells her mother that she plans to commit suicide that very evening. Jessie makes this revelation all while nonchalantly organizing household items and preparing to do her mother's nails.  The resulting intense conversation between Jessie and Thelma reveals Jessie's reasons for her decision and how thoroughly she has planned her own death, culminating in a disturbing yet unavoidable climax."
...All the Marbles,https://upload.wikimedia.org/wikipedia/en/3/35/Allthemarbles.jpg,"Harry is the manager of a tag team of attractive female wrestlers, Iris and Molly. On the road, they all endure a number of indignities, including bad motels, small-time crooks and a mud-wrestling match while trying to reach Reno, Nevada, for a big event at the MGM Grand Hotel."
10 to Midnight,https://upload.wikimedia.org/wikipedia/en/0/04/10_to_midnight_poster.jpg,"Warren Stacey (Gene Davis) is a young office equipment repairman who kills women after they reject his sexual advances. His attempts at flirting are always seen as creepy by women, resulting in frequent rejections. One night, Stacey attends a showing of Butch Cassidy and the Sundance Kid at a theatre and deliberately accosts the women sitting next to him, so they will recall him. As the movie plays, he heads for the theatre's bathroom, strips naked, puts on gloves and slips out though a window. He tracks Betty, a co-worker who had rejected his advances, down to a wooded area, and observes her having sex with her boyfriend in the back of a van. He ambushes the couple, kills the boyfriend and chases her into the forest, eventually catching up to her and stabbing her to death. Afterwards, he returns to the theatre and exits with the other attendees, giving him a solid alibi.  Detective Leo Kessler (Charles Bronson) and his partner Paul McAnn (Andrew Stevens) are investigating the murders. Kessler is a seasoned veteran of the force, while McAnn is considerably younger. Meanwhile, Laurie Kessler (Lisa Eilbacher), Leo's daughter and a nursing student, is struggling to reconcile her relationship with her father.  Stacey attends Betty's funeral and hears her father mention to Kessler, a family friend, that Betty kept a diary about her encounters with other men. Fearing he might be mentioned in the diary, Stacey searches Betty's bedroom in her apartment, but is interrupted when Karen Smalley (Jeana Tomasina), Betty's roommate and co-worker, returns from the funeral. Stacey stabs her to death in the kitchen and resumes searching for the diary, only to find it missing; Kessler had already acquired it from Karen during his questioning.  Eventually, Stacey is formally arrested and charged. Kessler decides to plant evidence in order to frame Stacey and put him away for good; when McAnn discovers this, he confronts Kessler and refuses to go along out of fear of committing perjury, as he had been called to the witness stand in the case. Kessler ultimately confesses to planting the evidence in court, resulting in the case against Stacey being dismissed and Kessler being fired from the force.  Now a free man, Stacey taunts Kessler over the phone, but Kessler returns the favour by ransacking Stacey's apartment, taunting him over the phone in turn, and getting him fired from his office job. That evening, Kessler tails Stacey through the streets of Los Angeles, and observes him picking up a prostitute and taking her to a seedy hotel. However, when he arrives at the hotel, he finds the prostitute unconscious and Stacey gone. Realizing that he is going after Laurie, he frantically calls her dorm at the nursing college where she stays to warn her and her roommates, but he is too late; Stacey breaks into the dorm and brutally murders Laurie's three roommates while Laurie hides from him.  As Leo alerts McAnn to Stacey's whereabouts and they both head for the dorm, Laurie manages to escape after wounding Stacey with a hot curling iron. He chases her through the street fully nude, but McAnn and Leo manage to catch up to him, saving Laurie. Stacey begins ranting about how he is insane and thus liable to be released after doing jail time. As the police arrive and handcuff him, Stacey warns Leo that ""the whole fucking world"" will hear from him again, to which Leo coldly responds, ""No, we won't,"" and shoots him through the head, killing him."
14 Going on 30,https://upload.wikimedia.org/wikipedia/en/c/ce/14_going_on_30.jpg,"14-year-old Danny O'Neil is madly in love with his teacher, Miss Peggy Noble. Given the fact that she is engaged to the cold-tempered and vicious gym teacher, Roy Kelton, who is nicknamed Jackjaw for his constant threat of breaking his pupils' jaws, Danny goes through his school days somewhat uninspired and suffers in silence.  One day, he oversees his geeky friend Lloyd Duffy, an orphan who happens to live next door with his uncaring uncle Herb and ditsy aunt May, growing fruits with an experimental growth accelerator. Danny becomes obsessed with the idea of turning himself into a grown man with the same machine, in order to break up Miss Noble's engagement, as well as convincing her to give him a chance. Lloyd is reluctant to help him out, aware of everything that could go wrong, so Danny secretly breaks into his lab and uses his machine that very night, seeing that the timing was perfect, considering that his parents will be leaving the house for a week. Not caring about the potential consequences, he turns himself into a 30-year-old man.  The next day, Lloyd immediately starts working on a machine with the opposite effect so he can return Danny to his 14-year-old self. Meanwhile, Danny visits the high school to pursue Miss Noble. When he arrives, he is promptly mistaken for the school's new principal, Harold Forndexter, who should have arrived to take up his position that morning (the real Forndexter has been delayed, but due to a miscommunication the school was not informed). Playing along with their misconception,  Danny not only impresses his assistant Louisa Horton with the introduction of his new rules - which include having as much fun as possible - but also Peggy, who admires his youthful approach of life.  Lloyd, however, is having no luck with his attempts to turn Danny back to his younger age, as all of his prototype machines killed the tomatoes he used as test subjects. Lloyd is also becoming slightly jealous of Danny, who now seems to have total freedom, unlike Lloyd, who's stuck with an adoptive family that never wanted him, and he begins to openly wonder what it would be like to become a man too. Unconcerned with all this, Danny continues to pursue a relationship with Peggy. Much to the dismay of Kelton, she agrees to go on a date with Danny, Even though Kelton follows their every step. Peggy has a splendid evening with the new principal, and they almost kiss at the end of the night.  During a school dance, Danny finally convinces Peggy that Kelton is not right for her, and she breaks off the engagement. By this time, Lloyd has finally completed a working machine. But when he goes to inform Danny, he discovers that the 'Harold' persona has completely taken Danny over and he refuses to change back, telling Lloyd that he likes his new body and life, and that he's never becoming Danny again. Immediately afterwards, Danny and Peggy become a couple. Kelton, refusing to accept this, tries to find out more on Forndexter, and discovers that 'Harold' is an impostor. He immediately informs the police, who arrive quickly to arrest him, giving Danny no choice but to transform back into a kid.  While Danny tries to escape, Lloyd prepares the machine for him. After getting rid of the cops, 'Harold' tells Peggy that he has to leave town for good, and then, after returning to Lloyd's lab, becomes Danny again. However, Peggy followed him and witnesses his transformation, now realising that 'Harold' was actually Danny, one of her favourite students. Because she has fallen in love with him, she convinces Lloyd to use the same machine to turn herself into a 14-year-old, which enables her to be with Danny. Meanwhile, in order to escape his abusive family, Lloyd finally gives in to temptation and uses the machine to turn himself into a professor, called Mr. Lloyd, and starts working at the same high school as a teacher."
18 Again!,https://upload.wikimedia.org/wikipedia/en/b/be/18again_dvdcover.jpg,"Jack Watson is a millionaire playboy and businessman who is about to turn 81 years old just as his grandson David is about to turn 18, but Jack laments his old age and wishes to get back to his teens once more. When an accident switches their souls, Jack gets to live his grandson's life and all that it entails: school, sports, and romance. Unfortunately, David gets the ""short end of the deal"", as not only is he trapped in his grandfather's 81-year-old body, but he is also in a coma. The only one who knows the truth is his longtime friend Charlie, whom Jack was able to convince by recounting experiences only they knew.  Jack gets to approach his family from a fresh point of view and doesn't always like what he sees: he's been a distant parent for his son Arnie and has repeatedly disregarded his ideas for improving the family company. The college fraternity that he coerced David into joining (his old alma mater) is bullying him on a regular basis and forcing him to write their test finals for them. He also finds out that his girlfriend Madeline is unfaithful when she tries to seduce him, thinking he's Jack's grandson. Deciding to set things right, Jack in David's body decides to take charge by convincing his father (or rather, Jack's son) to implement his ideas on the family business and uses his poker playing skills to beat the frat boys while betting $1000 that he will beat the lead frat boy Russ in the upcoming track meet. Jack also impresses a girl named Robin, who is taken with David's old-fashioned style with bow ties and his vividly recounting the Second World War and meeting President Harry S. Truman.  However, Jack realizes too late that he has willed half of everything to Madeline, who convinces Arnie and his wife to disconnect Jack's 81-year-old body from life support. Knowing that this will kill David, Jack and Charlie rush to the hospital to prevent this, wheeling Jack's body away from an orderly. When they crash in the hospital chapel, Jack and David's minds are returned to their rightful bodies, and Jack awakens. Jack still has unfinished business, as in David's body he challenged the fraternity president to a race, and now David must face him.  Jack gives David a pep talk, and David beats the frat president. Jack then encourages David to pursue an interested Robin. In private, Jack tells Arnie that his greatest mistake was trying to get him and David to relive his own life, and encourages Arnie to nurture David's interest in art, which Jack will do as well by getting David involved in the graphic design aspect of the family business. Finally, Jack confronts Madeline by saying he knows that she made a pass at David and is well aware that she is a gold digger only interested in his bank account. He throws her out of the house and lets her know that he has rewritten his will to include his family and his faithful butler Horton, whom he promptly orders to have Madeline thrown out. Robin and David start their relationship, and the movie finishes with Jack telling David everything about Harry S. Truman."
1918 (1985 film),https://upload.wikimedia.org/wikipedia/en/0/0e/1918_%281985_film%29.jpg,"It's 1918, the height of United States involvement in World War I: Liberty Bonds are sold, German immigrants are suspected as traitors or saboteurs, young men everywhere succumb to the patriotism and propaganda, and enlist. In a small Texas town, Horace Robedaux feels the pressure. He does not want to leave his young wife Elizabeth and their young child Jenny, but Elizabeth's can't-do-anything-right little brother constantly talks about the war. Elizabeth's stern father, who opposed the marriage initially, now has plans to take care of his daughter and the child, so Horace can fight for his country, but the Spanish flu influenza epidemic sweeping the town (and the U.S.) may change everyone's plans."
1969 (film),https://upload.wikimedia.org/wikipedia/en/5/5f/Nineteensixtyninefilm.jpg,"Two boys, Ralph (Robert Downey Jr.) and Scott (Kiefer Sutherland), hitchhike home from college, arriving on Easter morning and shout their greetings across the glen to their families during a lakeside Easter Sunrise service, much to the amusement of Ralph's younger sister, Beth (Winona Ryder), and mother, Ev, and embarrassment of Scott's mother, Jessie, and father, Cliff. Later that day, they drive Scott's older brother, Alden, who is shipping off to Vietnam, to the bus depot; Alden and Scott fight when Scott accuses the Marine of being afraid to go to Vietnam. Their father arrives, wondering what is going on.  A few weeks later, Scott and Ralph again return home from college to attend Beth's high school graduation, where they learn that Ralph has flunked out of college (thus making him eligible to be drafted). The boys decide to spend the summer on the road, living out of their van, experiencing all the freedom that the counterculture has to offer. Eventually, they arrive back at their hometown in the middle of its summer festival, where they learn that Alden has disappeared and is considered MIA. Ralph and Scott hatch a plan to steal their files from the local draft board office, but they are caught, and Ralph is arrested.  Scott is now determined to avoid Ralph's fate, planning to head to Canada to avoid the draft. Scott invites Beth to travel with him on his trip, and to stay away until the end of the war. Admitting their attraction to each other, they make love in the van. Later, they decide to visit Ralph in jail to tell him they are leaving. Ralph reveals in a very sarcastic tone that he actually wants to go to Vietnam. When he learns that his friend and his sister have had sexual relations, he disowns Scott and ignores Beth.  Scott and Beth get to the Canadaâ€“US border and are about to cross but have a change of heart and head back to Maryland. When they get home, they learn of Alden's death in the line of duty. Scott leads a huge march downtown in the midst of the funeral, where Ralph is released from jail and the friends are reunited. The film ends with a narration by Scott, announcing that his family and friends later join hundreds of thousands of other Americans towards Washington, D.C. to protest the Vietnam War."
2010: The Year We Make Contact,https://upload.wikimedia.org/wikipedia/en/4/4a/2010-poster01.jpg,"Nine years after the failure of the Discovery One mission to Jupiter in 2001, in which the crew of five including mission commander David Bowman were lost, an international dispute causes tension between the United States and the Soviet Union while both nations prepare space missions to determine what happened to the Discovery. The Soviet spacecraft Leonov will be ready a year before the American Discovery Two, but only the Americans can reactivate the ship's sentient computer, HAL 9000, thought to be responsible for the disaster. Upon learning that Discovery will crash into Jupiter's moon Io before the American mission can reach it, NASA persuades the Soviets to include Dr. Heywood Floyd, Discovery designer Walter Curnow, and HAL 9000's creator Dr. Chandra on their mission.  Arriving at Jupiter, the crew detects chlorophyll on Jupiter's icy moon Europa, moving toward the sun at the rate of one meter per minute.  A probe sent to investigate is destroyed by an energy burst, which the Soviets believe to be electrostatic build-up, but which Floyd suspects is a warning to stay away from Europa. Finding Discovery adrift in orbit over Io, Curnow reactivates the ship, and Chandra restarts HAL. Cosmonaut Max Brailovsky investigates the nearby giant Monolith where Bowman disappeared, but his EVA pod is destroyed by a burst of energy.  On Earth, Dave Bowman, now an incorporeal being, appears through his former wife's television to say goodbye, telling her that ""something wonderful"" is going to happen. He then visits his comatose mother in a nursing home. She briefly awakens, delighted by her son's presence, as Bowman gently brushes his mother's hair.  After he departs, Mrs. Bowman dies peacefully.  Chandra discovers the reasons for HAL's malfunction: the National Security Council ordered HAL to conceal information about the Monolith from the Discoverys crew, and programmed him to complete the mission alone. This conflicted with HAL's programming of open, accurate processing of information, causing the computer equivalent of a paranoid mental breakdown. When Bowman and copilot Frank Poole discussed deactivating the malfunctioning computer, HAL concluded that the human crew was endangering the mission, and terminated them. Although the NSC's order bears his signature, Floyd angrily denies having known of it.  Back on Earth, the United States and the Soviet Union are on the brink of war. The Americans are ordered to leave the Leonov and move to the Discovery, with no further communication between the crews. Both ships plan to leave Jupiter in several weeks' time, but Bowman appears to Floyd, and says that everyone must leave within two days. Floyd confers with the skeptical Soviet captain, Tanya Kirbuk. As the crews agree to cooperate on an emergency departure, the Monolith suddenly disappears, and an ominous black spot appears in Jupiter's atmosphere. Neither ship has the fuel to reach Earth if they leave ahead of schedule, so the ships are docked together, and placed under the control of HAL 9000. Discoverys remaining fuel will be burned to propel the Leonov away from Jupiter; then Discovery will be undocked and left behind.  HAL determines that the spot is a vast group of smaller Monoliths, multiplying exponentially and altering Jupiter's mass and chemical composition. He suggests canceling the launch in order to study the changes occurring to Jupiter. Floyd worries that HAL will prioritize his mission over the humans' survival, but Chandra admits to the computer that there is a danger, and that Discovery may be destroyed. HAL thanks Chandra for telling him the truth, and ensures the Leonovs escape. Before Discovery is destroyed, Bowman asks HAL to transmit a priority message, assuring him that they will soon be together. The Monoliths engulf Jupiter, which undergoes nuclear fusion, becoming a new star. HAL transmits this message to Earth:  The Leonov survives the shockwave from Jupiter's ignition, and returns home. Floyd narrates how the new star's miraculous appearance, and the message from a mysterious alien power, inspire the American and Soviet leaders to seek peace. Under its infant sun, icy Europa transforms into a humid jungle, covered with life, and watched over by a Monolith."
48 Hrs.,https://upload.wikimedia.org/wikipedia/en/1/17/Forty_eight_hrs.jpg,"Convicted career criminal Albert Ganz escapes from custody with the help of his accomplice Billy Bear. They travel to San Francisco and kill Henry Wong, a former associate. SFPD Inspector Jack Cates, accompanied by Detectives Algren and Van Zant, trace Ganz & Bear to a hotel, where they've checked in under aliases. Ganz & Bear ambush the officers. In the ensuing shootout, Ganz kills Algren & Van Zant and escapes with Billy, taking Jack's service revolver.  Armed with a replacement pistol, Jack tracks down Ganz's former partner-in-crime Reggie Hammond, who is in prison with six months to go on a three-year sentence for armed robbery. After a memorable first meeting in prison, Jack manages to get Reggie a 48-hour release into his custody so that Reggie can help Jack find Ganz & Bear. Reggie leads Jack to an apartment where Ganz's last remaining associate Luther Kelly lives. When Jack looks around, Luther shoots at him and refuses to be interrogated, so Jack arrests Luther.  That night, Reggie leads Jack to Torchy's, a redneck hangout where Billy used to be a bartender. Reggie, on a challenge from Jack, shakes the bar down using Jack's badge, single-handedly bringing the crowd under his control. They get a lead on Billy's old girlfriend, but get nothing out of her, as the girlfriend says she threw Billy out. After tensions between the two men finally erupt into a fistfight that is stopped by a pair of patrol officers, Reggie finally confesses that he, Ganz, Bear, Luther & Wong had robbed a drug dealer of $500,000 some years earlier and that the money was (and remains) stashed in the trunk of Reggie's car in a downtown parking garage. Instead of splitting the cash, Ganz sold Reggie out, resulting in his incarceration. It was also the reason why Ganz & Billy took Luther's girlfriend Rosalie: they wanted Luther to get Reggie's money in exchange for her safe return.  However, Luther goes and gets the car, and Jack & Reggie tail him to a Muni station where Ganz comes to get the money. Luther, however, recognizes Jack, and Ganz & Billy escape, while Reggie chases after Luther. Left with nothing, Jack ends up going back to the police station and waits for Reggie to call. Jack goes to a nightclub in the Fillmore District, to find Reggie, who has tracked Luther to a hotel across the street. Jack, humbled, apologizes for continuously berating and insulting Reggie. He lends Reggie some money to pay for a hotel room to have sex with a girl he's met, but as Reggie leaves the club with her, he sees Luther leave the hotel. Luther gets onto a stolen bus driven by Billy and hands over the money to Ganz, who shoots Luther and presumably Rosalie. Ganz spots Jack & Reggie following them, and a car chase/gunfight ensues, which ends when Billy forces Jack's Cadillac through the window of a Cadillac showroom. At this point following a heated verbal thrashing from Jack's superior Haden, Jack & Reggie are ready to resign themselves to the fact that they failed to catch Ganz.  At a local bar, Jack wonders if Billy might go back to see his girl and use her place as a hideout. Jack & Reggie force their way inside and after a brief confrontation, Reggie shoots Billy. Ganz escapes into a maze of alleyways, capturing Reggie. Jack approaches and shoots  Ganz in the shoulder, throwing Reggie off him. Ganz then charges at Jack but Jack shoots him repeatedly, killing him. Finally, Jack takes Reggie to go see the girl he had met earlier in Fillmore. Jack leaves the money in Reggie's car but asks for a loan to buy a convertible when Reggie is released, to which Reggie agrees. Jack gives Reggie a stern warning about changing his ways once he's released, and Reggie agrees to do so, while half attempting to steal Jack's lighter. The two men share a laugh before driving back to the prison."
52 Pick-Up,https://upload.wikimedia.org/wikipedia/en/3/30/52_Pick-Up.jpg,"Harry Mitchell is a successful construction magnate living in Los Angeles, whose wife Barbara is running for city council. One day, Harry is confronted by three hooded blackmailers who demand $105,000 per year for a videotape of him and his mistress, a young stripper named Cini. Because of his wife's political aspirations, he cannot go to the police; however, guilt eventually drives him to confess, and she kicks him out of their bedroom.    Harry's stubborn inclination is to not surrender to the threats, and when his lawyer advises him that the blackmailers will never leave him alone, he refuses to pay.  The lead blackmailer breaks into Harry's house and steals Harry's gun and some items of his clothing. Later, the trio kidnap Harry and force him to watch a video of Cini being murdered with Harry's own gun. They demand $105,000 a year for the rest of Harry's life in exchange for their silence. Harry, however, vows to get revenge.  Using deduction and his business contacts, Harry tracks down and confronts Alan Raimy, the leader of the blackmailers and an amateur adult filmmaker. Knowing he has a background in accounting, Harry shows Raimy his financial records, which indicate that the majority of his wealth is tied up and he can't afford $105,000. Raimy agrees to accept Harry's offer of $52,000 instead, at least as a first payment.   Through Doreen, a stripper who was friends with Cini, Harry learns the names of the other blackmailers: the sociopathic Bobby Shy and the cowardly Leo. He first makes Raimy suspicious by suggesting Leo gave up his name; Bobby, realizing the truth, violently interrogates Doreen but believes her when she says she didn't give him away. That night he breaks into the Mitchell house and tries to kill Harry, but Harry and Barbara overpower him. Harry realizes Raimy kept the revised deal to himself and tells Bobby as much before letting him go.  Leo, cracking under the pressure, confesses everything to Harry, saying he never wanted to hurt Cini and that both her body and the videotape have been disposed of. He also warns him that Raimy and Bobby will kill him and Barbara after the payment is made, since he knows who they are. Bobby later confronts Leo, who is planning to leave town, and kills him. Meanwhile, Raimy kidnaps Barbara and sedates her with drugs, to ensure Harry delivers the $52,000. He lures Bobby and Doreen to a warehouse and kills both of them before going to meet Harry.  Harry exchanges the money for Barbara, telling Raimy that if anything happens to them, his lawyer will send Raimy's fingerprints (from the financial records) to the police. Raimy had previously expressed interest in Harryâ€™s sports car, so Harry offers it as a getaway vehicle. When Raimy turns the ignition key the doors lock, trapping him inside; the car then explodes in a ball of fire."
